"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2020-10-12,11906.1844380829,-172.070185697174,-172.070185697174,-172.070185697174,-172.070185697174,-172.070185697174,-172.070185697174,0,0,0,9071.73741734222,14494.0987252481,11906.1844380829,11906.1844380829,11734.1142523857
2020-10-13,11949.3041226536,-139.628534339788,-139.628534339788,-139.628534339788,-139.628534339788,-139.628534339788,-139.628534339788,0,0,0,8815.29991843938,14779.9156718157,11949.3041226536,11949.3041226536,11809.6755883139
2020-10-14,11992.4238072244,54.7593350699203,54.7593350699203,54.7593350699203,54.7593350699203,54.7593350699203,54.7593350699203,0,0,0,9233.10669825986,14917.531809352,11992.4238072244,11992.4238072244,12047.1831422943
2020-10-15,12035.5434917951,93.1047034024944,93.1047034024944,93.1047034024944,93.1047034024944,93.1047034024944,93.1047034024944,0,0,0,9436.982010663,14951.6399310121,12035.5434917951,12035.5434917951,12128.6481951976
2020-10-16,12131.8888645016,36.9731940371167,36.9731940371167,36.9731940371167,36.9731940371167,36.9731940371167,36.9731940371167,0,0,0,9366.04019495048,15193.3371286707,12131.8888645016,12131.8888645016,12168.8620585387
2020-10-17,12228.234237208,145.049246259889,145.049246259889,145.049246259889,145.049246259889,145.049246259889,145.049246259889,0,0,0,9603.02252285536,15394.9852658559,12228.234237208,12228.234237208,12373.2834834679
2020-10-18,12324.5796099144,-18.1877587326574,-18.1877587326574,-18.1877587326574,-18.1877587326574,-18.1877587326574,-18.1877587326574,0,0,0,9432.01558899243,15355.1745825175,12324.5796099144,12324.5796099144,12306.3918511818
2020-10-19,12420.9249826208,-172.070185697134,-172.070185697134,-172.070185697134,-172.070185697134,-172.070185697134,-172.070185697134,0,0,0,9524.55256756148,15188.9733572369,12420.9249826208,12420.9249826208,12248.8547969237
2020-10-20,12517.2703553273,-139.628534339406,-139.628534339406,-139.628534339406,-139.628534339406,-139.628534339406,-139.628534339406,0,0,0,9592.91313768424,15196.2400530841,12517.2703553273,12517.2703553273,12377.6418209879
2020-10-21,12613.6157280337,54.7593350701649,54.7593350701649,54.7593350701649,54.7593350701649,54.7593350701649,54.7593350701649,0,0,0,9918.32586045821,15767.4729501189,12613.6157280337,12613.6157280337,12668.3750631038
2020-10-22,12709.9611007401,93.1047034026957,93.1047034026957,93.1047034026957,93.1047034026957,93.1047034026957,93.1047034026957,0,0,0,10088.235741972,15689.1433725121,12709.9611007401,12709.9611007401,12803.0658041428
2020-10-23,12806.3064734465,36.9731940371262,36.9731940371262,36.9731940371262,36.9731940371262,36.9731940371262,36.9731940371262,0,0,0,10007.5450597206,15545.897250274,12806.3064734465,12806.3064734465,12843.2796674837
2020-10-24,12902.651846153,145.0492462599,145.0492462599,145.0492462599,145.0492462599,145.0492462599,145.0492462599,0,0,0,10331.6692112966,15577.5533574705,12902.651846153,12902.651846153,13047.7010924129
